"","strain","lineage","serotype","temperature","nis_conc","nisin","day","replicate","MPN_CVT","note","elimination","nc","max_tmt","agegroup"
"129","FSL F2-0237","II","12a",4,250,"minus",1,2,2.41,NA,0,0,"no","4_250_2"
"130","FSL F2-0310","I","4b",4,250,"plus",1,2,0.37,NA,0,250,"yes","4_250_2"
"131","FSL L3-0051","I","12b",4,250,"plus",1,2,-0.29,NA,0,250,"yes","4_250_2"
"132","FSL F2-0237","II","12a",4,250,"plus",1,2,1.62,NA,0,250,"yes","4_250_2"
"133","FSL F2-0310","I","4b",4,250,"minus",15,2,6.36,NA,0,0,"no","4_250_2"
"134","FSL L3-0051","I","12b",4,250,"minus",15,2,5.8,NA,0,0,"no","4_250_2"
"135","FSL F2-0237","II","12a",4,250,"minus",15,2,6.22,NA,0,0,"no","4_250_2"
"136","FSL F2-0310","I","4b",4,250,"plus",15,2,0.37,NA,0,250,"yes","4_250_2"
"137","FSL L3-0051","I","12b",4,250,"plus",15,2,-1,"lower_limit",1,250,"yes","4_250_2"
"138","FSL F2-0237","II","12a",4,250,"plus",15,2,0.37,NA,0,250,"yes","4_250_2"
"139","FSL F2-0310","I","4b",4,250,"minus",30,2,7.82,NA,0,0,"no","4_250_2"
"140","FSL L3-0051","I","12b",4,250,"minus",30,2,7.91,NA,0,0,"no","4_250_2"
"141","FSL F2-0237","II","12a",4,250,"minus",30,2,8.3,NA,0,0,"no","4_250_2"
"142","FSL F2-0310","I","4b",4,250,"plus",30,2,1.11,NA,0,250,"yes","4_250_2"
"143","FSL L3-0051","I","12b",4,250,"plus",30,2,-1,"lower_limit",1,250,"yes","4_250_2"
"144","FSL F2-0237","II","12a",4,250,"plus",30,2,3.41,NA,0,250,"yes","4_250_2"
"145","FSL F2-0310","I","4b",7,25,"minus",1,3,2.79,NA,0,0,"no","7_25_3"
"146","FSL L3-0051","I","12b",7,25,"minus",1,3,2.12,NA,0,0,"no","7_25_3"
"147","FSL F2-0237","II","12a",7,25,"minus",1,3,2.79,NA,0,0,"no","7_25_3"
"148","FSL F2-0310","I","4b",7,25,"plus",1,3,2.41,NA,0,25,"no","7_25_3"
"149","FSL L3-0051","I","12b",7,25,"plus",1,3,1.38,NA,0,25,"no","7_25_3"
"150","FSL F2-0237","II","12a",7,25,"plus",1,3,2.62,NA,0,25,"no","7_25_3"
"151","FSL F2-0310","I","4b",7,25,"minus",15,3,8.27,NA,0,0,"no","7_25_3"
"152","FSL L3-0051","I","12b",7,25,"minus",15,3,8.12,NA,0,0,"no","7_25_3"
"153","FSL F2-0237","II","12a",7,25,"minus",15,3,7.41,NA,0,0,"no","7_25_3"
"154","FSL F2-0310","I","4b",7,25,"plus",15,3,4.71,"replate",0,25,"no","7_25_3"
"155","FSL L3-0051","I","12b",7,25,"plus",15,3,5.71,"replate",0,25,"no","7_25_3"
"156","FSL F2-0237","II","12a",7,25,"plus",15,3,5.38,"replate",0,25,"no","7_25_3"
"157","FSL F2-0310","I","4b",7,25,"minus",30,3,9.31,NA,0,0,"no","7_25_3"
"158","FSL L3-0051","I","12b",7,25,"minus",30,3,9.1,NA,0,0,"no","7_25_3"
"159","FSL F2-0237","II","12a",7,25,"minus",30,3,8.8,NA,0,0,"no","7_25_3"
"160","FSL F2-0310","I","4b",7,25,"plus",30,3,9.07,NA,0,25,"no","7_25_3"
"161","FSL L3-0051","I","12b",7,25,"plus",30,3,8.57,NA,0,25,"no","7_25_3"
"162","FSL F2-0237","II","12a",7,25,"plus",30,3,8.63,NA,0,25,"no","7_25_3"
"163","FSL F2-0310","I","4b",4,25,"minus",1,3,2.79,NA,0,0,"no","4_25_3"
"164","FSL L3-0051","I","12b",4,25,"minus",1,3,2.79,NA,0,0,"no","4_25_3"
"165","FSL F2-0237","II","12a",4,25,"minus",1,3,2.92,NA,0,0,"no","4_25_3"
"166","FSL F2-0310","I","4b",4,25,"plus",1,3,2.12,NA,0,25,"no","4_25_3"
"167","FSL L3-0051","I","12b",4,25,"plus",1,3,1.38,NA,0,25,"no","4_25_3"
"168","FSL F2-0237","II","12a",4,25,"plus",1,3,2.62,NA,0,25,"no","4_25_3"
"169","FSL F2-0310","I","4b",4,25,"minus",15,3,6.81,NA,0,0,"no","4_25_3"
"170","FSL L3-0051","I","12b",4,25,"minus",15,3,6.68,NA,0,0,"no","4_25_3"
